anime_id,english_title
14835,
34304,
42925,
23405,
4244,Galactic Gale Sasuraiger
8500,
27965,
38700,Moonlit Night and Opal
19505,
35350,
41137,
38877,
1243,
4926,
18045,
19029,
28765,
32402,
31002,
3053,Fight! Kickers
37520,
10294,Towanoquon: The Ephemeral Petals
33866,
463,One Piece: The Curse of the Sacred Sword
42950,What's Wrong with My Big Brother
40348,
35611,
48023,Bridge
9342,
26145,
30912,
5923,
10218,Berserk: The Golden Age Arc I - The Egg of the King
2727,
46488,
24975,
38050,
27757,
396,Banner of the Stars
34821,
17543,
47989,Professor Alan's Magic Solitaire Card
41054,
34825,Clean Freak! Aoyama-kun
32221,
34494,
43656,
48772,
37584,
50418,
50622,
38763,
32547,
43504,
9825,
3837,
35586,
25053,
8367,
24109,
998,
5713,
3065,
17671,
3057,
43013,
3674,
13307,
23061,Gestalt
34757,
35446,
44571,
1813,
31251,
1915,Magical Girl Lyrical Nanoha StrikerS
1217,
48313,Dear November Boy
38813,
33393,
18525,
7176,
33985,
12359,
3428,Spy of Darkness
40301,
15547,B-Daman Fireblast
24455,Lord Marksman and Vanadis
29733,
6219,
3839,
934,When They Cry
36840,
25897,
2348,
49470,
29517,
984,
39151,
40403,Sakura Wars the Animation
15139,
9326,
36226,
50710,Urusei Yatsura
1457,
21009,
20725,
43634,
31665,"Sound! Euphonium Episode 14 – Ready, Set, Monaka"
50466,
11789,
50111,
37626,
34622,
35780,
36510,Ulysses: Jeanne d'Arc and the Alchemist Knight
41379,Over the Sky
14675,Lagrange: The Flower of Rin-ne Episode 00
26141,
31621,Ooya-san wa Shishunki!
35368,
33661,
40660,
16331,
10686,Chunin Exam on Fire! and Naruto vs. Konohamaru!
29053,
3420,Shigofumi: Letters from the Departed
35035,
5290,Keroro Movie 3
5630,Eden of The East
35450,
9959,
253,Haré+Guu
9741,
5469,
28853,Pikachu and the Pokemon Music Squad
8362,
27375,
5684,
22893,
38145,My Roommate is a Cat
307,Adventures On Rainbow Pond
33882,
2470,Space Pirate Captain Harlock: Riddle of the Arcadia Episode
6153,Saint Seiya: Summary
13675,
35206,
4052,Medabots Spirits
42736,
21435,Encouragement of Climb Season 2
17623,
42837,
2345,
6012,
21053,
18179,
35020,
1650,Star Blazers: The Quest for Iscandar
44001,Pleasant Goat and Big Big Wolf: The Intriguing Alien Guests
30447,Kanta and the Deer
2412,
11161,
40983,
33536,
13821,Paper Rabbit Rope: Wait Last One For Summer Vacation For Real!?
50594,
25057,
35387,Preventing Tuberculosis
4452,
3675,
17619,
36289,
14317,
8394,Cyborg 009
75,Fafner of the Blue Sky
8465,
3875,
32224,
49825,
