anime_id,title,type,aired,premiered,studios,source,genres,rating,theme,anime_img_url
14835,The iDOLM@STER Shiny Festa,OVA,"Oct 25, 2012",,A-1 Pictures,Game,"Comedy, Drama",PG-13 - Teens 13 or older,Music,https://cdn.myanimelist.net/images/anime/12/43475.jpg
34304,PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,Movie,"Mar 4, 2017",,Tatsunoko Production,Game,Slice of Life,PG - Children,,https://cdn.myanimelist.net/images/anime/1278/98770.jpg
42925,Kamu Kamo Shikamo Nidomo Kamo!,Music,"Oct 1, 2019",,"None found, add some",Original,,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/1382/109338.jpg
23405,Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,ONA,"Oct 23, 2013 to Jan 30, 2014",,"None found, add some",Unknown,Supernatural,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/6/61407.jpg
4244,Ginga Shippuu Sasuraiger,TV,"Apr 5, 1983 to Jan 31, 1984",Spring 1983,"None found, add some",Original,"Action, Adventure",PG-13 - Teens 13 or older,Mecha,https://cdn.myanimelist.net/images/anime/7/47491.jpg
8500,Haguregumo,Movie,"Apr 24, 1982",,"Madhouse, Toei Animation",Manga,Comedy,R+ - Mild Nudity,,https://cdn.myanimelist.net/images/anime/1827/94766.jpg
27965,Maboroshi Mabo-chan,TV,"Apr 17, 1992 to Sep 25, 1992",Spring 1992,"None found, add some",Unknown,"Adventure, Fantasy",PG - Children,,https://cdn.myanimelist.net/images/anime/3/67775.jpg
38700,Tsukiyo & Opal,Movie,"Mar 7, 2015",,"None found, add some",Original,Avant Garde,G - All Ages,,https://cdn.myanimelist.net/images/anime/1849/96392.jpg
19505,Kaizoku Ouji,TV,"May 2, 1966 to Nov 28, 1966",Spring 1966,Toei Animation,Unknown,Adventure,None,,https://cdn.myanimelist.net/images/anime/1677/100901.jpg
35350,SYZ Project,Music,"Mar 31, 2015 to Apr 3, 2017",,DLE,Original,,PG - Children,Music,https://cdn.myanimelist.net/images/anime/5/85134.jpg
41137,Battle Spirits: Kakumei no Galette,ONA,"Aug 28, 2020 to Apr 23, 2021",,Bandai Namco Pictures,Card game,"Adventure, Sci-Fi",PG - Children,,https://cdn.myanimelist.net/images/anime/1999/111804.jpg
38877,Get Back on the Hill,Movie,1974,,"None found, add some",Original,Avant Garde,None,,
1243,Night Head Genesis,TV,"Jun 17, 2006 to Dec 31, 2006",Summer 2006,Bee Media,Manga,"Drama, Mystery, Sci-Fi, Supernatural",R - 17+ (violence & profanity),Psychological,https://cdn.myanimelist.net/images/anime/1208/111006.jpg
4926,Marco: Haha wo Tazunete Sanzenri,Movie,"Apr 2, 1999",,Nippon Animation,Unknown,"Adventure, Drama",G - All Ages,,https://cdn.myanimelist.net/images/anime/7/9467.jpg
18045,Koi to Senkyo to Chocolate: Koi Imouto!,Special,"Mar 27, 2013",,AIC Build,Visual novel,"Drama, Romance",PG-13 - Teens 13 or older,School,https://cdn.myanimelist.net/images/anime/3/83000.jpg
19029,Yuyushiki: Nyanyashiki,Special,"May 29, 2013 to Oct 23, 2013",,Kinema Citrus,4-koma manga,Comedy,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/6/51019.jpg
28765,The Baby Birds of Norman McLaren,Movie,2014,,"None found, add some",Unknown,,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/2/73404.jpg
32402,Mim Mam Mint,TV,"Dec 24, 2015 to Mar 25, 2016",Winter 2016,Kachidoki Studio,Original,Comedy,G - All Ages,,https://cdn.myanimelist.net/images/anime/12/77757.jpg
31002,Nibiki no Neko to Genkina Kazoku,OVA,1997,,"None found, add some",Unknown,Drama,G - All Ages,,https://cdn.myanimelist.net/images/anime/10/74557.jpg
3053,Ganbare! Kickers,TV,"Oct 15, 1986 to Mar 25, 1987",Fall 1986,Studio Pierrot,Manga,"Comedy, Drama, Sports",G - All Ages,,https://cdn.myanimelist.net/images/anime/1322/90364.jpg
37520,Dororo,TV,"Jan 7, 2019 to Jun 24, 2019",Winter 2019,"Tezuka Productions, MAPPA",Manga,"Action, Adventure, Supernatural",R - 17+ (violence & profanity),,https://cdn.myanimelist.net/images/anime/1879/100467.jpg
10294,Towa no Quon 1: Utakata no Kaben,Movie,"Jun 18, 2011",,Bones,Original,"Action, Sci-Fi, Supernatural",PG-13 - Teens 13 or older,Super Power,https://cdn.myanimelist.net/images/anime/11/35689.jpg
33866,Wonder,Music,"Dec 22, 2012",,"None found, add some",Music,,G - All Ages,,https://cdn.myanimelist.net/images/anime/12/81529.jpg
463,One Piece Movie 5: Norowareta Seiken,Movie,"Mar 6, 2004",,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,Super Power,https://cdn.myanimelist.net/images/anime/2/25413.jpg
42950,Wo Jia Da Shixiong Shi Ge Fanpai,ONA,"Oct 29, 2020 to Jan 14, 2021",,"None found, add some",Manga,"Action, Adventure, Comedy",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1764/109493.jpg
40348,Shounen Sunday CM: Detective Conan,Special,1995,,"None found, add some",Unknown,Mystery,G - All Ages,,https://cdn.myanimelist.net/images/anime/1661/102859.jpg
35611,FunaQ: Funassyi to Soutai-kun,ONA,"May 12, 2013 to Mar 31, 2014",,"None found, add some",Other,Slice of Life,G - All Ages,,https://cdn.myanimelist.net/images/anime/3/85829.jpg
48023,Fengyu Lang Qiao,ONA,2020,,"None found, add some",Original,"Action, Suspense",R - 17+ (violence & profanity),,https://cdn.myanimelist.net/images/anime/1192/118295.jpg
9342,Twinkle Nora Rock Me!,OVA,"Nov 21, 1985",,Filmlink International,Manga,"Action, Sci-Fi",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/2/25874.jpg
26145,Okaachan Gomen ne,Movie,1985,,"None found, add some",Unknown,,G - All Ages,Historical,https://cdn.myanimelist.net/images/anime/12/66035.jpg
30912,Robot Girls Z Episode 0,ONA,"Jul 30, 2013",,Toei Animation,Original,Comedy,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/12/74382.jpg
5923,Utsunomiko: Heaven Chapter,OVA,"Oct 24, 1990 to Feb 19, 1992",,Toei Animation,Light novel,"Adventure, Fantasy",PG - Children,Demons,https://cdn.myanimelist.net/images/anime/2/30529.jpg
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,"Feb 4, 2012",,Studio 4°C,Manga,"Action, Adventure, Fantasy, Supernatural",R+ - Mild Nudity,,https://cdn.myanimelist.net/images/anime/12/62179.jpg
2727,Sweet Valerian,TV,"Aug 1, 2004 to Dec 19, 2004",Summer 2004,Madhouse,Original,"Action, Comedy",G - All Ages,School,https://cdn.myanimelist.net/images/anime/11/3676.jpg
46488,Tai-Ari deshita.: Ojou-sama wa Kakutou Game nante Shinai,Unknown,Not available,,"None found, add some",Manga,"Comedy, Girls Love",None,,https://cdn.myanimelist.net/images/anime/1230/111237.jpg
24975,Ghibli ga Ippai Special Short Short,Special,"Nov 16, 2005",,Studio Ghibli,Other,Slice of Life,G - All Ages,,https://cdn.myanimelist.net/images/anime/4/64003.jpg
