anime_id,watching,completed,on-hold,dropped,plan to watch,total
40664,205,2407,96,60,5104,7872
18639,116,1371,80,67,1370,3004
23299,81,4813,80,116,1369,6459
34300,6042,68609,1481,2629,28051,106812
1548,277,1330,263,185,2616,4671
40855,2783,8,645,317,1057,4810
5968,144,4350,83,149,1178,5904
11101,35,290,16,61,312,714
17427,16,100,5,43,104,268
27451,15,228,13,67,72,395
44069,10535,18288,1092,635,27096,57646
34511,16,155,8,56,106,341
1033,3070,84936,1395,575,61982,151958
37571,966,2347,423,2775,6063,12574
43624,1,10,0,5,9,25
962,3774,32028,2925,1650,30731,71108
28049,21,373,7,55,105,561
9548,42,1161,29,74,374,1680
9088,623,5841,315,259,5386,12424
6276,129,3467,64,63,2427,6150
39533,23216,302183,7860,9193,99031,441483
20743,94,5641,93,128,1485,7441
40302,11,112,6,20,85,234
2398,363,42823,246,241,5264,48937
612,344,2631,286,378,2760,6399
588,274,9200,182,245,2921,12822
32902,20455,142904,6841,3913,73445,247558
32041,28,406,8,32,188,662
33019,3241,23526,1343,2008,10797,40915
3298,1484,19666,1364,1902,11182,35598
17833,29,244,20,67,191,551
39944,100,1784,45,51,988,2968
51013,8,222,4,7,77,318
40200,12,864,8,19,147,1050
42766,1,14,2,14,32,63
32255,12,88,4,57,121,282
2859,272,2071,153,143,1115,3754
36764,9,199,2,16,39,265
35234,15,47,7,47,114,230
39540,3,54,2,17,47,123
51128,1,0,0,0,486,487
23107,26,171,19,86,269,571
42760,4,27,5,35,43,114
36106,12719,171376,4490,1595,64346,254526
40570,4,88,1,28,33,154
39916,3,32,4,23,23,85
29667,14,187,7,47,87,342
4074,35,603,11,70,548,1267
47945,0,3,0,9,15,27
5075,237,1035,183,188,1392,3035
39195,35260,518887,13904,19955,110896,698902
4599,29,454,23,96,197,799
2302,77,2626,65,162,1176,4106
5934,24,491,24,55,337,931
47164,2,0,1,1,97788,97792
30158,7,92,4,34,58,195
2577,254,4264,249,361,2191,7319
48859,118,97,29,122,1253,1619
1951,881,13395,355,177,12835,27643
47163,3,2,3,0,17675,17683
1955,53,1321,35,83,753,2245
2447,543,4678,270,255,1587,7333
23847,30772,741401,11589,8263,112243,904268
4733,46,319,20,70,489,944
856,8138,75709,6063,5815,55443,151168
40645,9,148,0,33,77,267
35553,6,225,2,23,35,291
3668,567,2409,621,985,3899,8481
17815,65,3530,33,54,532,4214
10112,20,182,17,52,304,575
35972,51131,241748,15125,14490,96896,419390
1817,322,20354,229,165,3825,24895
29,986,7573,790,683,8977,19009
2420,122,1491,63,61,1692,3429
10794,1799,94307,690,623,14658,112077
46630,65,42,28,51,282,468
48391,284,0,84,278,643,1289
36564,221,3308,168,236,2977,6910
36006,0,0,0,0,6489,6489
7705,4248,17735,3873,8076,16189,50121
30634,11,67,6,37,111,232
38348,85,74,36,51,721,967
35327,136,6820,93,148,2198,9395
15977,6,162,8,47,60,283
49063,575,2597,54,81,570,3877
31387,55,2042,25,51,676,2849
36740,30,43,12,66,135,286
32366,2750,50664,840,573,17720,72547
1301,388,8913,224,180,7461,17166
32818,10,120,5,77,45,257
38658,3,322,0,13,39,377
120,19463,335485,14786,19500,102974,492208
26111,28,216,13,74,438,769
43665,0,16,3,10,11,40
20651,1573,45617,654,332,23162,71338
9311,712,5691,396,275,2241,9315
35726,427,2799,194,181,865,4466
378,87,3229,66,67,1163,4612
18007,66,55,45,100,255,521
