people_id,people_fullname,birthday,member_favorites,people_img_url
7882,Coryn William,"Nov  18, 1957",1,https://cdn.myanimelist.net/images/voiceactors/3/29165.jpg
4500,Shiibashi Hiroshi,"Jun  6, 1980",50,https://cdn.myanimelist.net/images/voiceactors/2/32565.jpg
8002,Rasner David,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/2/21297.jpg
42262,Madeon,"May  30, 1994",100,https://cdn.myanimelist.net/images/voiceactors/3/45709.jpg
26827,Ghaye Jacqueline,"Oct  28, 1956",1,https://cdn.myanimelist.net/images/voiceactors/3/66543.jpg
3310,Sogabe Shuji,"Nov  29, 1981",16,https://cdn.myanimelist.net/images/voiceactors/3/7612.jpg
56139,Vondenhoff Stéphanie,"Jul  7, 1980",0,https://cdn.myanimelist.net/images/voiceactors/2/66663.jpg
873,Lee Amanda Winn,"Nov  14, 1972",73,https://cdn.myanimelist.net/images/voiceactors/1/938.jpg
39269,de Crécy Nicolas,"Sep  29, 1966",0,https://cdn.myanimelist.net/images/voiceactors/1/42020.jpg
19968,G-Yuusuke,Unknown,27,https://cdn.myanimelist.net/images/voiceactors/2/48748.jpg
704,Iida Toshinobu,"Oct  24, 1977",268,https://cdn.myanimelist.net/images/voiceactors/2/1983.jpg
46044,Mendes Vanderlan,Unknown,1,https://cdn.myanimelist.net/images/voiceactors/2/63177.jpg
11695,Moura Fábio,Apr  26,2,https://cdn.myanimelist.net/images/voiceactors/2/41053.jpg
28513,Namiki Shinichi,"Dec  23, 1969",0,https://cdn.myanimelist.net/images/voiceactors/1/56498.jpg
1592,Nanjou Yoshino,"Jul  12, 1984",1698,https://cdn.myanimelist.net/images/voiceactors/2/64836.jpg
2959,Mishima Kazuhiko,Unknown,512,https://cdn.myanimelist.net/images/voiceactors/2/2876.jpg
7619,Ichinose Kaoru,Nov  22,67,https://cdn.myanimelist.net/images/voiceactors/3/24419.jpg
24259,Aiuchi Sae,"Jul  15, 1996",8,https://cdn.myanimelist.net/images/voiceactors/1/43758.jpg
4021,Sato Zakuri,Sep  20,37,https://cdn.myanimelist.net/images/voiceactors/2/8968.jpg
53257,Hoshiki Seena,"Oct  11, 1999",2,https://cdn.myanimelist.net/images/voiceactors/1/64391.jpg
43365,Cordova Mario,"Mar  9, 1955",1,https://cdn.myanimelist.net/images/voiceactors/3/46882.jpg
29777,Nagai Kankou,Jan  8,0,https://cdn.myanimelist.net/images/voiceactors/1/34281.jpg
10392,Takada Hatsumi,"Nov  19, 1985",52,https://cdn.myanimelist.net/images/voiceactors/1/8789.jpg
47435,Yan Mengmeng, 1981,0,https://cdn.myanimelist.net/images/voiceactors/2/51190.jpg
158,Inoue Marina,"Jan  20, 1985",7346,https://cdn.myanimelist.net/images/voiceactors/1/63416.jpg
