anime_id,people_id,staff_role
245,7882,Script (French)
37396,7882,ADR Director (French)
1357,7882,Script (French)
43697,7882,ADR Director (French)
7592,4500,Original Creator
15959,4500,Original Creator
9731,4500,Original Creator
10886,4500,Original Creator
10049,4500,Original Creator
11083,4500,Original Creator
34240,42262,Music
27631,3310,Original Character Design
10470,3310,Original Character Design
31559,3310,Original Character Design
34915,3310,Original Character Design
25805,56139,Theme Song Performance (French)
36927,56139,Theme Song Performance (French)
998,873,ADR Director
769,873,ADR Director
974,873,ADR Director
3461,873,ADR Director
1016,873,ADR Director
650,873,ADR Director
1280,873,ADR Director
738,873,ADR Director
30,873,ADR Director
31,873,"Script (Script (English version)), ADR Director"
32,873,"Script (Script (English version)), ADR Director"
208,873,ADR Director
1766,873,ADR Director
8915,19968,Original Character Design
12879,19968,Original Character Design
32271,19968,Original Character Design
36521,19968,Original Character Design
36524,19968,Original Character Design
36515,19968,Original Character Design
1604,704,Theme Song Performance (ED5)
30,11695,ADR Director
527,11695,ADR Director
19429,1592,Theme Song Performance
33371,1592,Theme Song Performance (ED)
34055,1592,Theme Song Performance (ED)
20787,1592,Theme Song Performance
9907,1592,Theme Song Performance
40934,1592,Theme Song Performance (ED)
15611,1592,Theme Song Performance (ED 1)
38145,1592,Theme Song Performance (ED)
17729,1592,Theme Song Performance (ED)
29095,1592,Theme Song Performance (ED)
35868,1592,Theme Song Performance (ED)
12679,1592,Theme Song Performance (OP)
15051,1592,"Theme Song Performance, Inserted Song Performance"
19111,1592,"Theme Song Performance, Inserted Song Performance"
32730,1592,Theme Song Performance
12637,1592,Theme Song Performance
9774,1592,Theme Song Performance (ED)
20877,1592,Theme Song Performance
11033,1592,Theme Song Performance
31404,1592,Theme Song Performance (ED)
4136,1592,Theme Song Performance
32836,1592,Inserted Song Performance
15793,1592,Inserted Song Performance
21573,1592,Inserted Song Performance
32843,1592,Inserted Song Performance
46985,1592,Theme Song Performance (OP)
9930,1592,Theme Song Performance
10923,1592,Inserted Song Performance
47159,1592,Theme Song Performance (ED)
16011,1592,Theme Song Performance (ED)
14951,1592,Theme Song Performance
18495,24259,Theme Song Performance (ED2)
30307,24259,"Inserted Song Performance (Every Day Kenomimi, as part of ANM48)"
21845,10392,Theme Song Performance (ED)
4744,158,Theme Song Performance (ed8)
10719,158,"Theme Song Performance (OP, ED)"
14967,158,"Theme Song Performance (OP, ED)"
14027,158,Theme Song Performance
10897,158,Theme Song Performance
514,158,Theme Song Performance
15583,158,"Inserted Song Performance (ep 3 ""Tsubomi ga Hiraku Toki"")"
1858,158,Theme Song Performance
1865,158,Theme Song Performance
476,158,"Theme Song Performance (Ginban Kaleidoscope ending song), Inserted Song Performance (Ep 6)"
4872,158,Theme Song Performance
17831,158,Theme Song Performance (OP)
9041,158,Theme Song Performance
18247,158,Theme Song Performance
20045,158,Theme Song Performance
21653,158,Theme Song Performance
6205,158,Theme Song Performance (ED)
5030,158,Theme Song Performance
9712,158,Theme Song Performance
2963,158,Theme Song Performance
20221,158,Theme Song Performance
5162,158,Theme Song Performance
3225,158,Theme Song Performance
14575,158,Theme Song Performance
14511,158,Theme Song Performance
18095,158,Theme Song Performance
9587,158,Theme Song Performance (ED)
31181,158,"Theme Song Performance (OP2, OP3)"
8241,158,Theme Song Performance
2605,158,Theme Song Performance (ED)
21033,158,Theme Song Performance
4063,158,Theme Song Performance
5277,158,Theme Song Performance
6548,158,Theme Song Performance
3228,158,Theme Song Performance
3193,5679,Theme Song Performance (OP1)
22043,5679,"Theme Song Performance (OP1, ED9)"
249,5679,Theme Song Performance (ED4)
884,5679,"Theme Song Performance (ED), Inserted Song Performance"
1574,45466,"Theme Song Lyrics (OP1), Theme Song Performance (OP1)"
25537,39051,Director of Photography
22297,39051,Director of Photography
28701,39051,Director of Photography
31389,39051,Director of Photography
27821,39051,Director of Photography
10087,39051,Director of Photography
11741,39051,Director of Photography
1858,39051,Director of Photography
3219,39051,Director of Photography
10417,39051,Director of Photography
2593,39051,Director of Photography
3782,39051,Director of Photography
3783,39051,Director of Photography
4280,39051,Director of Photography
4282,39051,Director of Photography
5204,39051,Director of Photography
5205,39051,Director of Photography
14807,39051,Director of Photography
22763,39051,Director of Photography
33018,39051,Director of Photography
38000,39051,Director of Photography
40456,39051,Director of Photography
47778,39051,Director of Photography
5034,39051,"Director of Photography (eps 2, 4, 7)"
2418,39051,Special Effects
8995,39051,Director of Photography (ep 1)
5306,39051,Director of Photography (eps 3-4)
30911,39051,Director of Photography
34086,39051,Director of Photography
33558,39051,Director of Photography
24459,39051,Director of Photography
6941,39051,Director of Photography
6628,4114,Original Creator
14467,4114,Script (ep 8)
16904,4114,Script
27991,4114,"Script (eps 4-5), Series Composition"
37307,4114,Script
355,4114,Original Creator
2787,4114,Original Creator
6773,4114,Original Creator
1815,4114,Original Creator
6572,4114,Original Creator
1066,4114,Original Creator
3956,4114,Original Creator
12823,4114,Original Creator
3221,4114,Original Creator
7375,4114,Original Creator
6330,4114,Original Creator
14957,4114,Original Creator
28603,4114,Original Creator
1531,4114,Original Creator
17551,4114,Original Creator
21995,30449,Music
24151,30449,Music
19257,30449,Music
36793,6459,Storyboard (ep 7)
8194,6459,"Storyboard (eps 3, 8, 15, 21, 28, 35, 41), Episode Director (eps 3, 8, 15, 21, 28, 35, 41)"
33839,6459,Director
1946,6459,"Storyboard (ep 8), Episode Director (ep 8)"
14751,6459,Storyboard (ep 6)
22547,6459,"Storyboard (ep 8), Episode Director (ep 8)"
5829,6459,"Production Assistant (eps 14, 16-17, 20, 22, 24, 26-27, 29, 32, 34)"
150,6459,"Storyboard (ep 40, 49), Episode Director (ep 40, 49)"
8,6459,"Storyboard (eps 2, 8), Episode Director (eps 2, 8)"
1542,6459,Storyboard (ep 16)
2561,6459,"Storyboard (eps 19, 26, 30, 39, 45, 47, 49), Episode Director (eps 19, 26, 30, 39, 45, 47, 49)"
4981,6459,"Director, Storyboard (eps 1-2, 7-8, 15, 18, 22-24, OP), Episode Director (eps 1-2, 7, 15, 18, 24, OP)"
10800,6459,Storyboard (ep 20)
8375,6459,"Production Manager (Assistant), Production Assistant (eps 1, 7, 13, 18, 23, 25)"
1,6459,Storyboard (ep 16)
1153,6459,"Director (eps 4-6), Storyboard (eps 4-6)"
17827,6459,"Storyboard (ep 9), Episode Director (ep 9)"
2962,6459,"Director, Storyboard"
563,6459,"Storyboard (eps 6, 11)"
3312,6459,"Director, Storyboard (eps 1, 5), Episode Director (eps 1, 5)"
225,6459,"Storyboard (ep 15, 20), Episode Director (ep 15)"
893,6459,Director
813,6459,"Director (eps 200-291), Storyboard (eps 45, 49, 53, 57, 62, 95, 99, 104, 109, 114, 118), Episode Director (eps 45, 49, 53, 57, 95, 99, 104, 109, 114, 118, 12)"
896,6459,Storyboard
901,6459,"Director, Storyboard"
902,6459,Producer (Supervision)
903,6459,"Director, Storyboard"
904,6459,Producer (Supervision)
905,6459,"Director, Storyboard"
906,6459,Producer (Supervision)
984,6459,Director
21179,6459,Director
2819,6459,Storyboard (ep 8)
31339,6459,"Storyboard (eps 5, 7), Episode Director (ep 7)"
603,6459,"Storyboard (ep 48), Episode Director (ep 48)"
32936,6459,Storyboard (eps 3-4)
4244,6459,"Storyboard (eps 32, 36), Episode Director (eps 32, 36)"
1491,6459,"Production Manager (Assistant), Production Assistant (eps 1-2, 7)"
5217,6459,"Storyboard (ep 22), Episode Director (ep 22)"
106,6459,"Director, Storyboard (eps 1, 7, 16, 38, 43, 50), Episode Director (eps 1, 7, 16, 38, 43, 50)"
2071,6459,"Director, Storyboard"
21407,6459,"Storyboard (ep 32), Episode Director (ep 32)"
2174,6459,Storyboard
16259,6459,"Director, Storyboard, Episode Director"
2012,6459,"Storyboard (ep 12), Episode Director (ep 12)"
36754,6459,"Storyboard (OP), Episode Director (OP)"
144,6459,"Storyboard (eps 3, 8), Episode Director (eps 3, 8)"
3609,6459,"Storyboard (eps 3, 8, 14, 22, 35, 42, 47), Episode Director (eps 3, 14, 35)"
17741,6459,"Director, Storyboard (eps 1-2, 6, 12, OP), Episode Director (eps 1-2, 12, OP)"
20649,6459,Director
3281,6459,Storyboard (ep 10)
1864,6459,"Storyboard (ep 11), Episode Director (ep 11)"
17599,6459,"Storyboard (ep 17), Episode Director (ep 17)"
4050,6459,"Director, Storyboard (eps 1, 3, 21, 23, 48, 52, OP1, OP2, ED3, ED4, ED5), Episode Director (eps 1, 3, 21, 48, 52, ED3, ED4, ED5)"
5891,6459,"Storyboard (eps 3, 12, 17, 22, 35, 41, 43), Episode Director (eps 12, 17, 22, 35, 41, 43)"
8560,6459,"Director, Storyboard (eps 1-2), Episode Director (eps 1-2)"
5274,6459,"Director, Storyboard (eps 1, 7, 13, 18), Episode Director (eps 1, 7, 13)"
22827,6459,"Director, Storyboard"
1453,6459,Storyboard (ep 6)
10465,6459,"Storyboard (OP), Episode Director (OP)"
10721,6459,"Storyboard (ep 18), Episode Director (ep 18)"
