id,title,english_title,type,source,start_air,end_air,season_premier,theme,rating,img_url
14835,The iDOLM@STER Shiny Festa,,OVA,Game,2012-10-25,,,Music,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/12/43475.jpg
34304,PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,,Movie,Game,2017-03-04,,,,PG - Children,https://cdn.myanimelist.net/images/anime/1278/98770.jpg
42925,Kamu Kamo Shikamo Nidomo Kamo!,,Music,Original,2019-10-01,,,Music,G - All Ages,https://cdn.myanimelist.net/images/anime/1382/109338.jpg
23405,Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,,ONA,Unknown,2013-10-23,2014-01-30,,,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/6/61407.jpg
4244,Ginga Shippuu Sasuraiger,Galactic Gale Sasuraiger,TV,Original,1983-04-05,1984-01-31,Spring 1983,Mecha,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/47491.jpg
8500,Haguregumo,,Movie,Manga,1982-04-24,,,,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/1827/94766.jpg
27965,Maboroshi Mabo-chan,,TV,Unknown,1992-04-17,1992-09-25,Spring 1992,,PG - Children,https://cdn.myanimelist.net/images/anime/3/67775.jpg
38700,Tsukiyo & Opal,Moonlit Night and Opal,Movie,Original,2015-03-07,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/1849/96392.jpg
19505,Kaizoku Ouji,,TV,Unknown,1966-05-02,1966-11-28,Spring 1966,,None,https://cdn.myanimelist.net/images/anime/1677/100901.jpg
35350,SYZ Project,,Music,Original,2015-03-31,2017-04-03,,Music,PG - Children,https://cdn.myanimelist.net/images/anime/5/85134.jpg
41137,Battle Spirits: Kakumei no Galette,,ONA,Card game,2020-08-28,2021-04-23,,,PG - Children,https://cdn.myanimelist.net/images/anime/1999/111804.jpg
38877,Get Back on the Hill,,Movie,Original,1974-01-01,,,,None,
1243,Night Head Genesis,,TV,Manga,2006-06-17,2006-12-31,Summer 2006,Psychological,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/1208/111006.jpg
4926,Marco: Haha wo Tazunete Sanzenri,,Movie,Unknown,1999-04-02,,,,G - All Ages,https://cdn.myanimelist.net/images/anime/7/9467.jpg
