anime_id,score,rating_count,ranked,popularity,members,favorites
14835,7.20,7645,,4419,16925,14
34304,6.85,433,,10303,1550,2
42925,N/A,,,18207,90,0
23405,6.74,3252,,5002,12324,7
4244,6.24,144,,11250,1035,3
8500,5.98,523,,9894,1811,1
27965,N/A,,,16532,192,0
38700,5.23,151,,14925,301,0
19505,N/A,,,13197,501,1
35350,N/A,,,17583,134,1
41137,6.30,136,,11600,942,0
38877,N/A,,,17901,113,0
1243,6.76,8659,,3446,29095,59
4926,7.08,820,,9237,2324,0
18045,6.86,18518,,3130,34908,13
19029,6.27,5276,,5067,11975,3
28765,5.22,296,,13025,537,0
32402,N/A,,,13921,393,2
31002,N/A,,,17575,134,0
3053,6.84,5308,,5802,8528,32
37520,8.23,466867,,119,960467,15623
10294,7.32,24300,,2097,71062,118
33866,4.86,176,,14612,325,0
463,7.17,38326,,2169,67741,24
42950,6.85,233,,10811,1306,4
40348,5.49,387,,11518,982,5
35611,N/A,,,17411,143,0
48023,N/A,,,18716,42,0
9342,3.03,1933,,8082,3634,11
26145,N/A,,,17473,140,0
30912,6.10,1188,,8483,3086,0
5923,6.03,143,,11602,910,1
10218,7.72,125499,,972,193299,832
2727,5.73,875,,8765,2793,3
46488,N/A,,,8811,3061,6
24975,5.71,556,,9522,2075,1
38050,6.93,2603,,6431,6582,5
27757,5.59,235,,12452,667,0
396,7.69,13227,,3347,30670,252
34821,5.96,1397,,7856,3939,4
17543,6.36,1510,,7819,3997,8
47989,N/A,,,18901,35,0
41054,N/A,,,17484,152,0
34825,6.97,67098,,1133,163781,308
32221,N/A,,,14870,305,1
34494,7.39,38125,,1330,134464,470
43656,N/A,,,18725,38,0
48772,N/A,,,16818,241,0
37584,5.71,3760,,3955,21795,29
50418,5.72,164,,10478,1423,11
50622,6.43,980,,9854,1838,16
38763,4.58,129,,15805,242,0
32547,7.84,20809,,2812,42152,33
43504,N/A,,,19152,24,0
9825,N/A,,,15163,281,0
3837,6.92,616,,9093,2447,9
35586,N/A,,,12816,581,3
25053,N/A,,,14113,373,1
8367,6.74,2051,,7986,3772,3
24109,5.87,405,,12376,686,0
998,7.02,9109,,3591,26744,110
5713,7.50,14801,,3501,28125,10
3065,6.28,578,,10041,1711,3
17671,N/A,,,12979,542,1
3057,6.51,7239,,4337,17664,27
43013,6.76,1857,,7729,4381,10
3674,7.43,5908,,4551,15585,8
13307,5.69,115,,11804,844,5
23061,5.59,325,,11957,799,1
34757,6.03,149,,12765,594,0
35446,6.81,3465,,5721,8801,56
44571,N/A,,,16711,214,0
1813,7.64,28107,,2646,47591,28
31251,8.04,97740,,954,197406,2592
1915,7.63,23713,,2575,49832,549
1217,6.33,3744,,6085,7585,7
48313,N/A,,,17596,149,0
38813,5.35,142,,15446,265,0
33393,6.50,1886,,7166,4999,10
18525,7.01,3464,,5670,8962,69
7176,6.46,1321,,8391,3197,2
33985,5.49,35291,,1721,96591,107
12359,5.76,127,,13735,417,1
3428,5.36,474,,10477,1422,6
40301,N/A,,,15691,262,0
15547,6.41,1433,,8640,2921,11
24455,7.14,155716,,584,308967,907
29733,N/A,,,16874,173,1
6219,7.00,1747,,6447,6515,14
3839,6.39,187,,11771,853,0
934,7.91,343572,,194,721431,19431
36840,5.58,12309,,3081,35984,104
25897,6.73,3911,,5172,11235,21
2348,5.40,904,,8975,2580,6
49470,N/A,,,8299,16541,149
29517,6.00,639,,9909,1803,1
984,6.75,24011,,2729,44643,14
39151,N/A,,,18193,87,0
40403,5.79,3053,,4502,16395,24
15139,5.36,156,,13737,416,1
9326,5.77,1002,,8212,3444,7
36226,6.16,147,,12106,750,2
50710,N/A,,,19327,8580,51
1457,6.89,4497,,4195,19030,108
21009,5.71,2831,,6168,7353,5
20725,5.12,201,,14066,376,0
43634,N/A,,,18767,37,2
31665,7.47,27947,,2617,48617,17
50466,N/A,,,18612,61,0
11789,5.44,187,,13445,460,1
50111,N/A,,,19288,132,0
37626,4.94,249,,13412,465,0
34622,5.81,228,,11761,854,1
35780,4.87,831,,8696,2849,5
36510,5.33,25895,,1901,83501,94
41379,5.95,4591,,2929,44225,118
14675,6.30,741,,8637,2926,0
26141,N/A,,,16318,205,0
31621,6.55,23016,,2675,46627,41
35368,N/A,,,17624,132,0
33661,6.64,952,,9247,2312,6
40660,5.23,149,,13850,413,0
16331,6.40,4353,,5983,7895,6
10686,7.16,36163,,2149,68459,28
29053,5.04,127,,15461,261,0
3420,7.47,28832,,1886,84494,343
35035,N/A,,,17396,144,1
5290,7.41,2196,,7331,4757,14
5630,7.78,234353,,331,517259,4020
35450,4.67,238,,13289,485,1
9959,7.10,190,,10480,1422,2
253,7.82,12397,,3308,31543,376
9741,5.55,10441,,3877,22766,39
5469,5.80,926,,9908,1802,2
28853,6.20,1853,,7154,5012,1
8362,7.24,3802,,6565,6244,5
27375,N/A,,,14249,358,0
5684,7.34,5152,,4703,14345,136
22893,N/A,,,11959,799,0
38145,7.74,73305,,1143,162904,1059
307,5.98,405,,11093,1112,3
33882,N/A,,,13170,508,0
2470,6.94,1846,,7185,4971,5
6153,7.14,2824,,6541,6274,11
13675,6.11,2762,,7032,5213,2
35206,6.79,836,,9008,2548,3
4052,6.65,8870,,4317,17788,12
42736,N/A,,,18158,96,0
21435,7.55,11852,,3443,29144,130
17623,N/A,,,14865,304,1
42837,N/A,,,18386,75,0
2345,5.31,738,,9426,2162,1
6012,6.04,173,,11556,920,0
21053,N/A,,,14627,324,0
18179,7.95,99664,,910,207087,2163
35020,N/A,,,18044,99,0
1650,7.58,5922,,3775,24176,171
44001,N/A,,,18460,66,0
30447,N/A,,,16154,215,0
2412,5.74,1651,,7643,4247,10
11161,6.84,14776,,3505,28074,5
40983,6.00,119,,12184,750,1
33536,4.77,196,,13614,434,0
13821,N/A,,,14340,350,0
50594,N/A,,,19316,8779,73
25057,N/A,,,16345,203,0
35387,5.42,158,,14681,320,0
4452,5.32,287,,11944,801,0
3675,5.68,566,,9977,1757,3
17619,N/A,,,13767,413,0
36289,7.03,1076,,9439,2149,4
14317,6.47,3780,,6379,6711,3
8394,6.87,1665,,6789,5717,13
75,7.28,12987,,2746,43741,251
8465,6.69,23722,,2663,47081,21
3875,6.49,446,,10599,1355,2
32224,N/A,,,16677,185,0
49825,6.44,128,,16162,279,1
5460,8.22,29477,,2516,52249,60
8523,5.00,179,,12663,618,0
2592,5.11,3054,,6361,6754,7
37852,N/A,,,16380,201,0
45627,N/A,,,18298,91,1
2934,6.39,235,,8705,2848,4
2804,6.53,564,,9142,2406,7
683,6.36,881,,9616,2004,1
1492,6.96,3235,,5039,12169,33
34911,N/A,,,16070,220,0
13299,5.53,229,,12029,777,0
2010,6.53,1687,,7520,4455,3
