anime_id,genre_id
14835,1
14835,5
34304,7
23405,9
4244,2
4244,4
8500,1
27965,4
27965,3
38700,14
19505,4
41137,4
41137,6
38877,14
1243,5
1243,11
1243,6
1243,9
4926,4
4926,5
18045,5
18045,8
19029,1
32402,1
31002,5
3053,1
3053,5
3053,13
37520,2
37520,4
37520,9
10294,2
10294,6
10294,9
463,2
463,4
463,1
463,3
42950,2
42950,4
42950,1
40348,11
35611,7
48023,2
48023,16
9342,2
9342,6
30912,1
5923,4
5923,3
10218,2
10218,4
10218,3
10218,9
2727,2
2727,1
46488,1
46488,18
24975,7
38050,1
27757,1
27757,8
27757,7
396,2
396,8
396,6
34821,10
17543,10
41054,1
34825,1
34825,13
34494,1
34494,7
37584,2
50418,2
50622,10
32547,1
32547,7
9825,1
3837,4
3837,1
3837,6
35586,6
25053,1
25053,19
8367,1
8367,7
8367,12
24109,9
998,2
998,4
998,1
998,5
998,15
998,11
998,8
998,6
998,12
5713,1
5713,7
3065,2
3065,4
3065,1
3065,3
17671,13
3057,17
3057,1
3057,3
3057,8
3057,9
43013,10
3674,1
13307,2
13307,4
23061,3
34757,7
35446,10
44571,2
44571,4
44571,3
44571,6
1813,1
1813,7
31251,2
31251,5
31251,6
1915,2
1915,1
1915,5
1217,17
1217,1
1217,5
1217,8
48313,7
33393,10
18525,10
7176,1
7176,7
33985,2
33985,9
3428,15
3428,10
40301,5
24455,4
24455,3
24455,8
24455,12
29733,4
6219,3
6219,8
6219,7
934,15
934,11
934,9
934,16
36840,8
36840,20
25897,1
2348,10
49470,1
49470,8
29517,6
984,4
984,1
984,3
984,6
40403,4
40403,6
9326,10
36226,2
36226,1
50710,1
50710,8
50710,6
1457,2
1457,5
1457,6
21009,2
21009,13
21009,12
31665,5
11789,3
50111,1
50111,7
37626,1
34622,2
35780,10
36510,2
36510,3
41379,5
41379,3
14675,2
14675,1
14675,6
31621,1
31621,7
35368,8
33661,1
33661,6
33661,12
40660,7
16331,2
16331,6
10686,2
10686,4
3420,5
3420,3
3420,9
3420,16
35035,9
5290,1
5290,6
5630,2
5630,5
5630,11
5630,8
5630,6
5630,16
35450,14
9959,5
253,1
253,7
9741,1
9741,8
9741,12
5469,2
5469,5
28853,4
28853,3
8362,2
8362,4
8362,1
27375,5
5684,2
5684,1
5684,3
5684,7
22893,8
38145,1
38145,7
307,1
307,3
33882,1
2470,2
2470,4
2470,5
2470,6
6153,4
6153,3
6153,6
13675,5
35206,2
35206,3
35206,7
4052,2
4052,4
4052,6
21435,4
21435,1
21435,7
17623,1
2345,3
2345,15
2345,10
6012,5
21053,1
18179,1
18179,5
18179,13
35020,5
1650,2
1650,4
1650,5
1650,6
44001,4
44001,1
30447,4
2412,10
11161,1
11161,8
11161,12
40983,1
40983,3
33536,3
13821,4
13821,1
13821,7
50594,3
25057,1
25057,5
35387,5
4452,1
4452,8
3675,2
3675,5
3675,3
3675,6
17619,4
17619,5
14317,6
8394,2
8394,4
8394,6
75,2
75,5
75,6
8465,1
8465,3
8465,12
3875,1
32224,5
49825,3
5460,2
5460,11
8523,10
2592,2
2592,17
2592,15
2592,6
2592,9
37852,7
45627,3
45627,6
2934,1
2804,4
2804,3
683,1
683,3
683,8
1492,2
34911,1
13299,1
13299,5
13299,11
13299,8
13299,7
2010,2
2010,1
37442,2
37442,6
6686,10
1460,2
1460,4
1460,5
1460,6
27651,5
27651,6
32760,5
36531,2
36531,6
38768,1
38768,3
3008,4
3008,1
40877,14
13373,7
183,13
39359,6
8192,1
8192,6
48442,7
9426,1
8853,2
8853,4
8853,1
8853,6
49613,2
49613,3
17811,3
39760,3
39760,9
179,1
179,8
3947,1
3947,5
3947,7
31953,1
31953,7
1358,4
1358,6
8194,4
8194,3
8194,15
8194,9
10572,1
10572,13
10572,12
49718,1
49718,8
49718,9
40765,4
40765,5
26149,3
29863,4
29863,3
37446,3
46630,1
35242,5
8952,1
1115,8
21867,4
21867,1
21867,11
37328,3
37328,7
613,4
613,3
613,9
254,1
254,7
855,5
855,18
855,8
48904,1
9127,2
9127,1
9127,9
33925,4
33925,5
33925,8
264,1
264,13
1837,2
1837,4
1837,1
1837,6
28171,19
28171,12
664,4
664,1
664,5
664,3
31884,2
31884,3
31884,7
41487,2
41487,4
41487,1
41487,3
39063,2
39063,3
39063,9
43609,1
43609,12
41471,1
41471,7
37798,4
37798,3
5118,1
32059,2
32059,6
6124,4
6124,5
6124,3
6124,9
38091,13
6297,2
6297,4
6297,1
33157,1
33157,7
4130,1
36409,1
40139,5
40139,7
303,1
303,9
41632,2
41632,6
11857,13
34712,5
34712,3
34712,11
31933,2
31933,4
31933,1
31933,5
31933,9
23475,10
3125,1
3125,3
3125,8
5553,10
44002,4
44002,1
21973,1
21973,3
3063,10
1102,2
1102,6
11005,3
11005,9
11005,12
6229,2
6229,5
33209,1
33209,8
33209,9
1771,2
1771,13
33338,2
33338,4
33338,1
33338,5
33338,3
919,5
919,8
919,6
39872,14
39872,5
33,2
33,4
33,5
33,3
33,15
33,9
22993,1
22993,7
35124,5
32666,1
32666,19
50909,14
49078,1
49078,13
2852,10
2574,4
2574,3
40752,11
5306,2
5306,4
5306,3
11341,1
11341,11
4197,4
4197,1
4197,3
4197,9
47997,3
47997,6
8889,1
8889,8
8889,12
22535,2
22535,5
22535,15
22535,6
1555,1
1555,8
455,4
455,3
455,11
455,8
455,6
455,16
9662,15
41115,4
41115,13
33558,2
33558,4
33558,3
34595,14
22433,2
22433,3
18689,1
18689,13
47614,1
47614,19
47614,7
4541,10
34532,2
34532,5
34532,15
34532,6
1584,1
1584,6
46324,13
17113,4
17113,1
17113,19
49877,2
49877,4
49877,1
49877,3
48583,2
48583,5
48583,3
48583,11
2978,2
2978,4
2978,15
2978,6
34240,6
48789,1
42248,14
3486,2
3486,4
3486,6
35629,5
35629,8
35629,20
4849,10
8333,3
4548,2
4548,1
4548,9
11531,11
11531,9
16740,1
1596,2
1596,1
1596,13
1596,12
37408,17
35800,4
35800,6
32160,2
32160,1
32160,3
30375,7
21495,1
4508,1
4508,8
44218,6
40180,3
30411,1
1989,1
6325,2
6325,1
10851,10
5097,10
30264,3
3735,2
3735,1
3735,6
17733,1
17733,7
3942,10
2541,10
29846,1
12467,8
35338,1
35338,8
35338,12
3890,6
3890,10
40484,2
1581,1
1581,5
1581,8
30327,14
10074,2
10074,4
10074,1
10074,19
13727,1
13727,6
13727,7
481,2
481,4
481,3
2647,3
3580,10
33759,2
33759,3
9885,1
9885,3
32739,2
31583,14
34393,7
31436,1
40109,2
40109,5
40109,6
4596,2
33300,1
35492,3
30328,14
38999,1
38999,18
38999,7
9744,13
9744,12
34872,1
30915,2
30915,3
30915,9
17445,5
17445,13
36288,2
197,1
197,8
197,6
197,12
35576,1
11441,2
11441,5
36889,10
21653,2
21653,1
21653,6
21653,12
6759,1
6759,7
9367,2
9367,5
9367,8
9367,6
9367,12
26289,5
49848,5
49848,16
10714,2
10714,6
10714,9
10336,2
10336,4
10336,6
9013,1
9013,7
35626,2
35626,4
35626,3
35626,8
41212,10
49989,10
36629,1
36629,7
1947,2
1947,3
4640,1
4640,5
4640,6
5311,2
5311,6
42737,15
42737,16
8749,1
2820,2
2820,4
2820,1
5194,10
42149,2
42149,6
9390,2
9390,4
9390,6
734,17
734,5
734,8
734,20
3468,5
3468,18
3468,8
3468,7
18311,2
18311,4
18311,3
33010,2
33010,14
33010,1
33010,6
3219,1
3219,6
3219,7
1818,2
1818,4
1818,3
1818,9
25809,1
29673,1
316,1
316,18
316,20
316,10
48332,3
48332,6
3836,4
27927,1
27927,7
51132,1
51132,21
31072,1
13349,1
13349,8
5551,10
5201,4
5201,1
36073,1
38770,2
38770,1
38770,5
38770,11
32625,1
41160,1
33855,1
30651,1
30651,7
48675,1
48675,8
11491,1
11491,7
884,2
884,3
3516,1
3516,7
7908,10
43020,7
1470,2
1470,1
1470,11
22627,3
4209,2
4209,1
4209,6
37535,7
42754,3
2626,3
48128,4
20441,4
20441,1
20441,11
5369,2
5369,4
39049,1
39049,9
3976,5
3976,8
3976,10
49661,6
29731,1
29731,7
16650,13
31763,2
31763,8
31763,6
301,2
301,4
301,1
301,11
18759,13
37599,2
37599,3
9924,1
9924,3
9924,12
508,4
508,1
38741,2
38741,4
38741,3
38741,8
34845,1
34845,3
30863,14
23233,2
23233,3
23233,8
23233,12
5575,10
19099,4
19099,3
26261,5
33937,6
30173,2
30173,1
42297,8
42297,9
19705,11
2645,4
2645,1
2645,3
2645,6
44075,2
44075,3
30981,5
4799,10
34414,2
34414,1
34414,5
