id,name,rank,favorites,img_url
2,Kyoto Animation,1,7228,https://cdn.myanimelist.net/img/common/companies/2.png
11,Madhouse,2,6019,https://cdn.myanimelist.net/img/common/companies/11.png
858,Wit Studio,3,5195,https://cdn.myanimelist.net/img/common/companies/858.png
43,ufotable,4,5170,https://cdn.myanimelist.net/img/common/companies/43.png
569,MAPPA,5,4821,https://cdn.myanimelist.net/img/common/companies/569.png
44,Shaft,6,4379,https://cdn.myanimelist.net/img/common/companies/44.png
4,Bones,7,4042,https://cdn.myanimelist.net/img/common/companies/4.png
21,Studio Ghibli,8,2750,https://cdn.myanimelist.net/img/common/companies/21.png
56,A-1 Pictures,9,2478,https://cdn.myanimelist.net/img/common/companies/56.png
10,Production I.G,10,1894,https://cdn.myanimelist.net/img/common/companies/10.png
1835,CloverWorks,11,1733,https://cdn.myanimelist.net/img/common/companies/1835.png
803,Trigger,12,1680,https://cdn.myanimelist.net/img/common/companies/803.png
14,Sunrise,13,1625,https://cdn.myanimelist.net/img/common/companies/14.png
314,White Fox,14,1490,https://cdn.myanimelist.net/img/common/companies/314.png
6,Gainax,15,1431,https://cdn.myanimelist.net/img/common/companies/6.png
287,David Production,16,1402,https://cdn.myanimelist.net/img/common/companies/287.png
18,Toei Animation,17,1006,https://cdn.myanimelist.net/img/common/companies/18.png
1993,Studio Bind,18,872,https://cdn.myanimelist.net/img/common/companies/1993.png
7,J.C.Staff,19,830,https://cdn.myanimelist.net/img/common/companies/7.png
1591,Science SARU,20,763,https://cdn.myanimelist.net/img/common/companies/1591.png
132,P.A. Works,21,673,https://cdn.myanimelist.net/img/common/companies/132.png
291,CoMix Wave Films,22,664,https://cdn.myanimelist.net/img/common/companies/291.png
1,Studio Pierrot,23,636,https://cdn.myanimelist.net/img/common/companies/1.png
95,Doga Kobo,24,623,https://cdn.myanimelist.net/img/common/companies/95.png
73,TMS Entertainment,25,401,https://cdn.myanimelist.net/img/common/companies/73.png
17,Aniplex,26,360,https://cdn.myanimelist.net/img/common/companies/17.png
300,SILVER LINK.,27,343,https://cdn.myanimelist.net/img/common/companies/300.png
1109,Orange,28,341,https://cdn.myanimelist.net/img/common/companies/1109.png
112,Brain's Base,29,303,https://cdn.myanimelist.net/img/common/companies/112.png
13,Studio 4°C,30,264,https://cdn.myanimelist.net/img/common/companies/13.png
37,Studio Deen,31,263,https://cdn.myanimelist.net/img/common/companies/37.png
2167,Hololive Production,32,260,https://cdn.myanimelist.net/img/common/companies/2167.png
456,Lerche,33,244,https://cdn.myanimelist.net/img/common/companies/456.png
1696,Kadokawa,34,233,https://cdn.myanimelist.net/img/common/companies/1696.png
503,Nintendo,35,233,https://cdn.myanimelist.net/img/common/companies/503.png
290,Kinema Citrus,36,232,https://cdn.myanimelist.net/img/common/companies/290.png
703,Notes,37,228,https://cdn.myanimelist.net/img/common/companies/703.png
102,Funimation,38,209,https://cdn.myanimelist.net/img/common/companies/102.png
28,OLM,39,199,https://cdn.myanimelist.net/img/common/companies/28.png
91,feel.,40,179,https://cdn.myanimelist.net/img/common/companies/91.png
344,Atlus,41,172,https://cdn.myanimelist.net/img/common/companies/344.png
58,Square Enix,42,167,https://cdn.myanimelist.net/img/common/companies/58.png
22,Nippon Animation,43,150,https://cdn.myanimelist.net/img/common/companies/22.png
405,T-Rex,44,145,https://cdn.myanimelist.net/images/qm_50.gif
1365,Shueisha,45,143,https://cdn.myanimelist.net/img/common/companies/1365.png
47,Khara,46,135,https://cdn.myanimelist.net/img/common/companies/47.png
441,8bit,47,126,https://cdn.myanimelist.net/img/common/companies/441.png
3,Gonzo,48,123,https://cdn.myanimelist.net/img/common/companies/3.png
45,Pink Pineapple,49,115,https://cdn.myanimelist.net/img/common/companies/45.png
1468,Crunchyroll,50,111,https://cdn.myanimelist.net/img/common/companies/1468.png
167,Sega,51,108,https://cdn.myanimelist.net/img/common/companies/167.png
103,Tatsunoko Production,52,106,https://cdn.myanimelist.net/img/common/companies/103.png
65,Tokyo Movie Shinsha,53,96,https://cdn.myanimelist.net/img/common/companies/65.png
