anime_id,studio_id
14835,56
34304,103
8500,11
8500,18
19505,18
35350,276
41137,1258
1243,322
4926,22
18045,436
19029,290
32402,432
3053,1
37520,200
37520,569
10294,4
463,18
9342,426
30912,18
5923,18
10218,13
2727,11
24975,21
38050,290
27757,73
27757,276
396,14
34821,2315
17543,422
34825,101
34494,132
43656,471
37584,37
50418,28
32547,300
9825,413
3837,14
35586,1314
25053,14
8367,247
998,10
998,196
5713,163
3065,94
3057,7
43013,405
3674,44
13307,18
34757,1618
1813,30
31251,14
1915,35
1217,492
33393,2315
18525,274
7176,309
33985,1195
33985,1536
15547,118
24455,41
6219,18
3839,18
934,37
36840,1759
25897,14
2348,2318
29517,200
984,18
40403,537
9326,2315
36226,1774
50710,287
1457,1
21009,38
31665,2
34622,28
35780,407
36510,1299
41379,1796
14675,10
14675,27
31621,1569
33661,247
40660,2053
16331,10
10686,1
3420,7
5290,14
5630,10
35450,1055
253,247
9741,292
28853,28
8362,247
27375,18
5684,18
38145,1379
307,103
2470,18
6153,18
35206,18
4052,80
21435,441
18179,73
1650,86
30447,18
2412,1375
11161,95
40983,22
40983,103
50594,291
25057,18
3675,18
36289,4
14317,10
8394,18
75,27
8465,8
3875,18
49825,2302
5460,65
2592,155
37852,866
45627,6
2934,81
2804,196
2804,406
683,122
1492,73
13299,196
2010,37
37442,10
6686,274
1460,103
27651,18
43228,471
36531,28
38768,1
3008,103
40877,1972
13373,2
183,126
9426,73
36125,44
8853,14
17811,2
39760,1970
179,196
3947,65
31953,95
18343,60
1358,18
8194,18
10572,271
10572,439
10572,478
49718,1593
40765,1473
37446,1264
46630,1830
8952,18
1115,7
21867,73
37328,37
613,14
254,247
855,11
855,75
48904,1023
9127,118
264,11
1837,43
28171,7
664,4
31884,18
41487,441
39063,132
43609,56
41471,418
41471,1299
5118,2
32059,1324
38091,73
33157,300
4130,27
4130,330
36409,276
303,28
41632,2066
34712,7
31933,287
23475,423
3125,86
5553,154
9650,439
21973,73
1102,591
11005,1759
6229,7
33209,1325
1771,18
33338,18
919,28
33,28
22993,247
32666,276
2852,1531
2852,2316
2574,103
40752,44
5306,43
11341,7
11341,8
4197,1
8889,403
22535,11
1555,88
455,22
41115,370
33558,43
34595,1055
22433,10
22433,27
18689,10
18689,11
4541,2348
34532,839
1584,24
17113,247
48583,569
2978,112
34240,56
48789,398
3486,14
2728,28
35629,207
4849,54
4548,70
11531,4
16740,6
1596,44
37408,1209
32160,18
30375,1075
21495,56
4508,91
44218,1768
40180,18
30411,432
1989,68
6325,1
10851,767
5097,481
3735,10
2541,239
29846,1231
12467,346
35338,56
3890,155
1581,28
43660,471
10074,18
13727,27
481,36
3580,239
9885,18
25609,1023
32739,6
34393,1340
17209,466
40109,10
40109,898
4596,14
33300,390
38999,95
9744,101
34872,276
30915,4
36288,1661
197,11
197,75
35576,1662
11441,37
36889,2269
21653,441
9367,179
49848,44
10714,4
10336,3
9013,37
9013,315
48604,1033
35626,2042
41212,2049
11507,32
49989,1093
